Date,AAPL,GOOGL,MSFT,META,AMZN
2023-01-03,123.09600830078125,88.45169830322266,233.45278930664062,123.87469482421875,85.81999969482422
2023-01-04,124.36566925048828,87.41948699951172,223.2408447265625,126.4864501953125,85.13999938964844
2023-01-05,123.04682159423828,85.55357360839844,216.62448120117188,126.0594253540039,83.12000274658203
2023-01-06,127.57420349121094,86.68501281738281,219.17745971679688,129.11807250976562,86.08000183105469
2023-01-09,128.09584045410156,87.35993194580078,221.3114471435547,128.57188415527344,87.36000061035156
2023-01-10,128.66671752929688,87.75692749023438,222.99722290039062,132.06748962402344,89.87000274658203
2023-01-11,131.3831329345703,90.83367919921875,229.74024963378906,131.96815490722656,95.08999633789062
2023-01-12,131.30441284179688,90.44660186767578,232.41014099121094,135.7616729736328,95.2699966430664
2023-01-13,132.63307189941406,91.42918395996094,233.1117401123047,136.02978515625,98.12000274658203
2023-01-17,133.79443359375,90.60540008544922,234.203125,134.4210205078125,96.05000305175781
2023-01-18,133.0759735107422,90.43669128417969,229.7792205810547,132.09727478027344,95.45999908447266
2023-01-19,133.135009765625,92.35221862792969,225.99842834472656,135.20556640625,93.68000030517578
2023-01-20,135.69398498535156,97.2849349975586,234.07643127441406,138.40322875976562,97.25
2023-01-23,138.88287353515625,99.04167175292969,236.37608337402344,142.276123046875,97.5199966430664
2023-01-24,140.2804718017578,96.96733856201172,235.84986877441406,142.1470489501953,96.31999969482422
2023-01-25,139.62103271484375,94.50593566894531,234.45648193359375,140.51841735839844,97.18000030517578
2023-01-26,141.68788146972656,96.78868103027344,241.65744018554688,146.2781982421875,99.22000122070312
2023-01-27,143.62680053710938,98.62482452392578,241.81336975097656,150.68740844726562,102.23999786376953
2023-01-30,140.74302673339844,96.21304321289062,236.5027618408203,146.0398406982422,100.55000305175781
2023-01-31,142.01268005371094,98.09879302978516,241.47230529785156,147.93661499023438,103.12999725341797
2023-02-01,143.13467407226562,99.67687225341797,246.28598022460938,152.0578155517578,105.1500015258789
2023-02-02,148.4396209716797,106.93206024169922,257.8329162597656,187.4605255126953,112.91000366210938
2023-02-03,152.0615234375,103.99424743652344,251.74278259277344,185.23606872558594,103.38999938964844
2023-02-06,149.33526611328125,102.12834167480469,250.20315551757812,184.7693328857422,102.18000030517578
2023-02-07,152.20916748046875,106.83280181884766,260.71722412109375,190.29075622558594,102.11000061035156
